code_commune_insee,nom_commune,code_epci,population_derniere_annee
44009,Basse-Goulaine,244400404,9617
44018,Bouaye,244400404,8281
44020,Bouguenais,244400404,20590
44024,Brains,244400404,2760
44026,Carquefou,244400404,20535
44035,La Chapelle-sur-Erdre,244400404,20483
44047,Couëron,244400404,23541
44074,Indre,244400404,4172
44094,Mauves-sur-Loire,244400404,3393
44101,La Montagne,244400404,6523
44109,Nantes,244400404,325070
44114,Orvault,244400404,28341
44120,Le Pellerin,244400404,5335
44143,Rezé,244400404,43349
44150,Saint-Aignan-Grandlieu,244400404,3991
44162,Saint-Herblain,244400404,50561
44166,Saint-Jean-de-Boiseau,244400404,6024
44171,Saint-Léger-les-Vignes,244400404,2114
44172,Sainte-Luce-sur-Loire,244400404,16227
44190,Saint-Sébastien-sur-Loire,244400404,28373
44194,Sautron,244400404,8534
44198,Les Sorinières,244400404,9163
44204,Thouaré-sur-Loire,244400404,10956
44215,Vertou,244400404,26048
