code_commune_insee,nom_commune,code_epci,type_scrutin,annee,tour,date_scrutin,inscrits,votants,abstention,blancs,nuls,exprimes,turnout_pct,blancs_pct,nuls_pct,voix_lrem,voix_pct_lrem,voix_rn,voix_pct_rn,voix_eelv,voix_pct_eelv,voix_lr,voix_pct_lr,voix_lfi,voix_pct_lfi,voix_ps,voix_pct_ps,voix_other,voix_pct_other
44009,Basse-Goulaine,244400404,europeenne,2019,1,2019-05-26,6534,3267,3267,98,65,3104,0.5,0.03,0.02,1024,0.32989690721649484,497,0.16011597938144329,436,0.1404639175257732,310,0.09987113402061856,217,0.06990979381443299,186,0.059922680412371136,434,0.13981958762886598
44018,Bouaye,244400404,europeenne,2019,1,2019-05-26,5626,2813,2813,84,56,2672,0.5,0.03,0.02,882,0.3300898203592814,428,0.1601796407185629,374,0.13997005988023953,267,0.0999251497005988,187,0.06998502994011976,160,0.059880239520958084,374,0.13997005988023953
44020,Bouguenais,244400404,europeenne,2019,1,2019-05-26,13989,6994,6994,210,140,6645,0.5,0.030000000000000002,0.02,2193,0.33002257336343116,1063,0.1599699021820918,930,0.1399548532731377,665,0.1000752445447705,465,0.06997742663656885,399,0.0600451467268623,930,0.1399548532731377
44024,Brains,244400404,europeenne,2019,1,2019-05-26,1875,938,938,28,19,891,0.5,0.029999999999999995,0.02,294,0.32996632996632996,143,0.16049382716049382,125,0.14029180695847362,89,0.09988776655443322,62,0.06958473625140292,53,0.05948372615039282,125,0.14029180695847362
44026,Carquefou,244400404,europeenne,2019,1,2019-05-26,13952,6976,6976,209,140,6627,0.5,0.03,0.02,2187,0.33001358080579446,1059,0.15980081484834766,928,0.14003319752527538,663,0.10004526935264826,464,0.07001659876263769,398,0.06005734118002112,928,0.14003319752527538
44047,Couëron,244400404,europeenne,2019,1,2019-05-26,15994,7997,7997,240,160,7597,0.5,0.03,0.02,2505,0.32973542187705673,1216,0.16006318283532975,1064,0.14005528498091352,760,0.10003948927208109,532,0.07002764249045676,456,0.06002369356324865,1064,0.14005528498091352
44074,Indre,244400404,europeenne,2019,1,2019-05-26,2834,1417,1417,43,28,1346,0.5,0.029999999999999995,0.02,444,0.3298662704309064,215,0.15973254086181277,189,0.14041604754829123,135,0.10029717682020803,94,0.06983655274888559,81,0.060178306092124816,188,0.13967310549777118
44035,La Chapelle-sur-Erdre,244400404,europeenne,2019,1,2019-05-26,13917,6958,6958,209,139,6610,0.5,0.030000000000000002,0.02,2181,0.32995461422087746,1058,0.1600605143721634,925,0.13993948562783662,661,0.1,463,0.07004538577912255,397,0.060060514372163386,925,0.13993948562783662
44101,La Montagne,244400404,europeenne,2019,1,2019-05-26,4432,2216,2216,66,44,2105,0.5,0.03,0.02,695,0.33016627078384797,337,0.16009501187648456,295,0.14014251781472684,211,0.1002375296912114,146,0.06935866983372922,126,0.05985748218527316,295,0.14014251781472684
44120,Le Pellerin,244400404,europeenne,2019,1,2019-05-26,3625,1812,1812,54,36,1722,0.5,0.030000000000000002,0.02,568,0.32984901277584205,276,0.1602787456445993,241,0.13995354239256677,172,0.09988385598141696,121,0.070267131242741,103,0.05981416957026713,241,0.13995354239256677
44198,Les Sorinières,244400404,europeenne,2019,1,2019-05-26,6226,3113,3113,93,62,2957,0.5,0.03,0.02,976,0.33006425431180253,473,0.1599594183293879,414,0.1400067636117687,296,0.10010145417653027,207,0.07000338180588435,177,0.05985796415285763,414,0.1400067636117687
44094,Mauves-sur-Loire,244400404,europeenne,2019,1,2019-05-26,2305,1153,1153,35,23,1095,0.5,0.03,0.02,361,0.32968036529680367,175,0.1598173515981735,153,0.13972602739726028,110,0.1004566210045662,77,0.07031963470319634,66,0.06027397260273973,153,0.13972602739726028
44109,Nantes,244400404,europeenne,2019,1,2019-05-26,220857,110428,110428,3313,2209,104907,0.5,0.03,0.02,34619,0.32999704500176347,16785,0.1599988561297149,14687,0.1400001906450475,10491,0.10000285967571278,7344,0.07000486144871172,6294,0.059995996454002117,14687,0.1400001906450475
44114,Orvault,244400404,europeenne,2019,1,2019-05-26,19255,9627,9627,289,193,9146,0.5,0.03,0.02,3018,0.32998031926525256,1463,0.15996063853050513,1281,0.14006122895254755,915,0.1000437349661054,640,0.06997594576864202,549,0.06002624097966324,1280,0.13995189153728405
44143,Rezé,244400404,europeenne,2019,1,2019-05-26,29452,14726,14726,442,295,13990,0.5,0.03,0.019999999999999997,4617,0.3300214438884918,2238,0.15997140814867764,1959,0.14002859185132238,1399,0.1,979,0.06997855611150822,839,0.05997140814867763,1959,0.14002859185132238
44150,Saint-Aignan-Grandlieu,244400404,europeenne,2019,1,2019-05-26,2712,1356,1356,41,27,1288,0.5,0.03,0.02,425,0.3299689440993789,206,0.15993788819875776,181,0.140527950310559,129,0.10015527950310558,90,0.06987577639751552,77,0.059782608695652176,180,0.13975155279503104
44162,Saint-Herblain,244400404,europeenne,2019,1,2019-05-26,34352,17176,17176,515,344,16317,0.5,0.03,0.02,5385,0.3300239014524729,2611,0.16001716001716002,2284,0.13997671140528284,1632,0.10001838573267145,1142,0.06998835570264142,979,0.05999877428448857,2284,0.13997671140528284
