code_commune_insee,nom_commune,code_epci,type_scrutin,annee,tour,parti_en_tete,candidat_en_tete,voix_en_tete,voix_pct_en_tete,turnout_pct,blancs_pct,nuls_pct
44009,Basse-Goulaine,244400404,europeenne,2019,1,lrem,lrem,1024,0.32989690721649484,0.5,0.03,0.02
44018,Bouaye,244400404,europeenne,2019,1,lrem,lrem,882,0.3300898203592814,0.5,0.03,0.02
44020,Bouguenais,244400404,europeenne,2019,1,lrem,lrem,2193,0.33002257336343116,0.5,0.030000000000000002,0.02
44024,Brains,244400404,europeenne,2019,1,lrem,lrem,294,0.32996632996632996,0.5,0.029999999999999995,0.02
44026,Carquefou,244400404,europeenne,2019,1,lrem,lrem,2187,0.33001358080579446,0.5,0.03,0.02
44047,Couëron,244400404,europeenne,2019,1,lrem,lrem,2505,0.32973542187705673,0.5,0.03,0.02
44074,Indre,244400404,europeenne,2019,1,lrem,lrem,444,0.3298662704309064,0.5,0.029999999999999995,0.02
44035,La Chapelle-sur-Erdre,244400404,europeenne,2019,1,lrem,lrem,2181,0.32995461422087746,0.5,0.030000000000000002,0.02
44101,La Montagne,244400404,europeenne,2019,1,lrem,lrem,695,0.33016627078384797,0.5,0.03,0.02
44120,Le Pellerin,244400404,europeenne,2019,1,lrem,lrem,568,0.32984901277584205,0.5,0.030000000000000002,0.02
44198,Les Sorinières,244400404,europeenne,2019,1,lrem,lrem,976,0.33006425431180253,0.5,0.03,0.02
44094,Mauves-sur-Loire,244400404,europeenne,2019,1,lrem,lrem,361,0.32968036529680367,0.5,0.03,0.02
44109,Nantes,244400404,europeenne,2019,1,lrem,lrem,34619,0.32999704500176347,0.5,0.03,0.02
44114,Orvault,244400404,europeenne,2019,1,lrem,lrem,3018,0.32998031926525256,0.5,0.03,0.02
44143,Rezé,244400404,europeenne,2019,1,lrem,lrem,4617,0.3300214438884918,0.5,0.03,0.019999999999999997
44150,Saint-Aignan-Grandlieu,244400404,europeenne,2019,1,lrem,lrem,425,0.3299689440993789,0.5,0.03,0.02
44162,Saint-Herblain,244400404,europeenne,2019,1,lrem,lrem,5385,0.3300239014524729,0.5,0.03,0.02
44166,Saint-Jean-de-Boiseau,244400404,europeenne,2019,1,lrem,lrem,642,0.33024691358024694,0.5,0.03,0.02
44171,Saint-Léger-les-Vignes,244400404,europeenne,2019,1,lrem,lrem,225,0.32991202346041054,0.5,0.029999999999999995,0.02
44190,Saint-Sébastien-sur-Loire,244400404,europeenne,2019,1,lrem,lrem,3022,0.3300207491536529,0.5,0.03,0.02
44172,Sainte-Luce-sur-Loire,244400404,europeenne,2019,1,lrem,lrem,1728,0.3299599007065114,0.5,0.03,0.02
44194,Sautron,244400404,europeenne,2019,1,lrem,lrem,909,0.3300653594771242,0.5,0.03,0.02
44204,Thouaré-sur-Loire,244400404,europeenne,2019,1,lrem,lrem,1167,0.3300339366515837,0.5,0.03,0.02
44215,Vertou,244400404,europeenne,2019,1,lrem,lrem,2774,0.3300023792529146,0.5,0.03,0.02
