code_commune_insee,nom_commune,code_epci,type_scrutin,annee,tour,parti_en_tete,candidat_en_tete,voix_en_tete,voix_pct_en_tete,turnout_pct,blancs_pct,nuls_pct
44009,Basse-Goulaine,244400404,legislative,2017,1,lrem,lrem,1772,0.46965279618340844,0.62,0.03,0.02
44018,Bouaye,244400404,legislative,2017,1,lrem,lrem,1527,0.46999076638965837,0.62,0.03,0.020000000000000004
44020,Bouguenais,244400404,legislative,2017,1,lrem,lrem,3796,0.46997647641451035,0.62,0.03,0.02
44024,Brains,244400404,legislative,2017,1,lrem,lrem,509,0.46999076638965837,0.62,0.03,0.02
44026,Carquefou,244400404,legislative,2017,1,lrem,lrem,3786,0.4699602780536246,0.62,0.03,0.02
44047,Couëron,244400404,legislative,2017,1,lrem,lrem,4340,0.4699512723335138,0.6199999999999999,0.03,0.02
44074,Indre,244400404,legislative,2017,1,lrem,lrem,769,0.46976175931582165,0.62,0.03,0.02
44035,La Chapelle-sur-Erdre,244400404,legislative,2017,1,lrem,lrem,3777,0.4700684505289359,0.62,0.03,0.02
44101,La Montagne,244400404,legislative,2017,1,lrem,lrem,1203,0.47010550996483,0.62,0.030000000000000002,0.02
44120,Le Pellerin,244400404,legislative,2017,1,lrem,lrem,984,0.47013855709507885,0.62,0.03,0.02
44198,Les Sorinières,244400404,legislative,2017,1,lrem,lrem,1688,0.46967167501391205,0.62,0.03,0.02
44094,Mauves-sur-Loire,244400404,legislative,2017,1,lrem,lrem,626,0.47032306536438767,0.62,0.03,0.02
44109,Nantes,244400404,legislative,2017,1,lrem,lrem,59935,0.46999733379338465,0.62,0.03,0.02
44114,Orvault,244400404,legislative,2017,1,lrem,lrem,5225,0.4699586256520957,0.62,0.03,0.02
44143,Rezé,244400404,legislative,2017,1,lrem,lrem,7993,0.4700382240517495,0.62,0.03,0.02
44150,Saint-Aignan-Grandlieu,244400404,legislative,2017,1,lrem,lrem,736,0.46998722860791825,0.62,0.029999999999999995,0.02
44162,Saint-Herblain,244400404,legislative,2017,1,lrem,lrem,9322,0.46997731283085453,0.62,0.03,0.02
44166,Saint-Jean-de-Boiseau,244400404,legislative,2017,1,lrem,lrem,1111,0.4701650444350402,0.62,0.03,0.02
44171,Saint-Léger-les-Vignes,244400404,legislative,2017,1,lrem,lrem,390,0.4704463208685163,0.62,0.03,0.02
44190,Saint-Sébastien-sur-Loire,244400404,legislative,2017,1,lrem,lrem,5230,0.46990116801437554,0.62,0.03,0.02
44172,Sainte-Luce-sur-Loire,244400404,legislative,2017,1,lrem,lrem,2992,0.47007069913589944,0.62,0.03,0.019999999999999997
44194,Sautron,244400404,legislative,2017,1,lrem,lrem,1574,0.470131421744325,0.62,0.03,0.02
44204,Thouaré-sur-Loire,244400404,legislative,2017,1,lrem,lrem,2019,0.46975337366216846,0.62,0.03,0.02
44215,Vertou,244400404,legislative,2017,1,lrem,lrem,4803,0.47005284791544333,0.62,0.029999999999999995,0.02
