code_commune_insee,nom_commune,code_epci,type_scrutin,annee,tour,date_scrutin,inscrits,votants,abstention,blancs,nuls,exprimes,turnout_pct,blancs_pct,nuls_pct,voix_re,voix_pct_re,voix_nupes,voix_pct_nupes,voix_rn,voix_pct_rn,voix_lr,voix_pct_lr,voix_other,voix_pct_other
44009,Basse-Goulaine,244400404,legislative,2022,1,2022-06-12,6732,4039,2693,121,81,3837,0.6,0.03,0.02,1535,0.4000521240552515,1150,0.29971331769611675,576,0.15011727912431588,269,0.07010685431326558,307,0.08001042481105029
44018,Bouaye,244400404,legislative,2022,1,2022-06-12,5797,3478,2319,104,70,3304,0.6,0.03,0.02,1322,0.4001210653753027,991,0.29993946731234866,496,0.15012106537530268,231,0.06991525423728813,264,0.07990314769975787
44020,Bouguenais,244400404,legislative,2022,1,2022-06-12,14413,8648,5765,259,173,8215,0.6,0.03,0.02,3286,0.4,2465,0.3000608642726719,1232,0.14996956786366403,575,0.06999391357273281,657,0.07997565429093122
44024,Brains,244400404,legislative,2022,1,2022-06-12,1932,1159,773,35,23,1101,0.6,0.030000000000000002,0.02,441,0.40054495912806537,330,0.2997275204359673,165,0.14986376021798364,77,0.06993642143505904,88,0.07992733878292461
44026,Carquefou,244400404,legislative,2022,1,2022-06-12,14374,8625,5750,259,172,8193,0.6,0.030000000000000002,0.02,3277,0.3999755889173685,2458,0.30001220554131575,1229,0.15000610277065787,574,0.07005980715244721,655,0.07994629561821066
44047,Couëron,244400404,legislative,2022,1,2022-06-12,16479,9887,6591,297,198,9393,0.6,0.029999999999999995,0.02,3757,0.39997870754817416,2818,0.3000106462259129,1409,0.15000532311295645,658,0.07005216650697328,751,0.07995315660598318
44074,Indre,244400404,legislative,2022,1,2022-06-12,2920,1752,1168,53,35,1665,0.6,0.03,0.02,666,0.4,499,0.2996996996996997,250,0.15015015015015015,117,0.07027027027027027,133,0.07987987987987988
44035,La Chapelle-sur-Erdre,244400404,legislative,2022,1,2022-06-12,14338,8603,5735,258,172,8173,0.6,0.03,0.02,3269,0.39997552918145113,2452,0.30001223540927446,1226,0.15000611770463723,572,0.06998654104979811,654,0.08001957665483911
44101,La Montagne,244400404,legislative,2022,1,2022-06-12,4566,2740,1826,82,55,2603,0.6,0.03,0.02,1041,0.39992316557817903,781,0.3000384172109105,391,0.15021129466000768,182,0.06991932385708798,208,0.07990779869381483
44120,Le Pellerin,244400404,legislative,2022,1,2022-06-12,3734,2241,1494,67,45,2129,0.6,0.03,0.02,852,0.4001878816345702,639,0.3001409112259277,319,0.14983560356975106,149,0.06998590887740723,170,0.07984969469234382
44198,Les Sorinières,244400404,legislative,2022,1,2022-06-12,6414,3848,2566,115,77,3656,0.6,0.03,0.019999999999999997,1462,0.399890590809628,1097,0.300054704595186,548,0.14989059080962802,256,0.0700218818380744,293,0.08014223194748359
44094,Mauves-sur-Loire,244400404,legislative,2022,1,2022-06-12,2375,1425,950,43,29,1354,0.6,0.03,0.02,542,0.40029542097488924,406,0.2998522895125554,203,0.1499261447562777,95,0.07016248153618906,108,0.07976366322008863
44109,Nantes,244400404,legislative,2022,1,2022-06-12,227549,136529,91020,4096,2731,129703,0.6,0.03,0.02,51881,0.3999984580156203,38911,0.30000077099218986,19456,0.15000424045704416,9079,0.06999838091640131,10376,0.07999814961874437
44114,Orvault,244400404,legislative,2022,1,2022-06-12,19839,11903,7935,357,238,11308,0.6,0.03,0.02,4523,0.3999823134064379,3392,0.29996462681287583,1696,0.14998231340643792,792,0.07003891050583658,905,0.08003183586841174
44143,Rezé,244400404,legislative,2022,1,2022-06-12,30344,18207,12138,546,364,17296,0.6,0.03,0.02,6919,0.40003469010175763,5189,0.30001156336725254,2593,0.1499190564292322,1211,0.07001618871415356,1384,0.08001850138760407
44150,Saint-Aignan-Grandlieu,244400404,legislative,2022,1,2022-06-12,2794,1676,1117,50,34,1592,0.6,0.03,0.020000000000000004,637,0.4001256281407035,478,0.30025125628140703,239,0.15012562814070352,111,0.06972361809045226,127,0.07977386934673367
