code_commune_insee,nom_commune,code_epci,type_scrutin,annee,tour,parti_en_tete,candidat_en_tete,voix_en_tete,voix_pct_en_tete,turnout_pct,blancs_pct,nuls_pct
44009,Basse-Goulaine,244400404,municipale,2020,1,eelv,eelv,739,0.28003031451307314,0.42999999999999994,0.04,0.03
44018,Bouaye,244400404,municipale,2020,1,eelv,eelv,636,0.27992957746478875,0.43,0.04,0.029999999999999995
44020,Bouguenais,244400404,municipale,2020,1,ps,ps,1582,0.28,0.43000000000000005,0.04,0.03
44024,Brains,244400404,municipale,2020,1,eelv,eelv,212,0.2800528401585205,0.43,0.04,0.03
44026,Carquefou,244400404,municipale,2020,1,eelv,eelv,1578,0.2800354924578527,0.43,0.04,0.03
44047,Couëron,244400404,municipale,2020,1,eelv,eelv,1809,0.280030959752322,0.43,0.04,0.03
44074,Indre,244400404,municipale,2020,1,eelv,eelv,321,0.28034934497816594,0.43,0.04,0.03
44035,La Chapelle-sur-Erdre,244400404,municipale,2020,1,eelv,eelv,1574,0.2800213485144992,0.43,0.04,0.030000000000000002
44101,La Montagne,244400404,municipale,2020,1,eelv,eelv,501,0.2798882681564246,0.43,0.04,0.03
44120,Le Pellerin,244400404,municipale,2020,1,eelv,eelv,410,0.28005464480874315,0.43,0.04,0.03
44198,Les Sorinières,244400404,municipale,2020,1,eelv,eelv,704,0.28003182179793157,0.43,0.04,0.03
44094,Mauves-sur-Loire,244400404,municipale,2020,1,eelv,eelv,261,0.280343716433942,0.43,0.04,0.03
44109,Nantes,244400404,municipale,2020,1,eelv,eelv,24977,0.27999865476884445,0.43,0.04,0.029999999999999995
44114,Orvault,244400404,municipale,2020,1,eelv,eelv,2178,0.28005657708628007,0.43,0.04,0.03
44143,Rezé,244400404,municipale,2020,1,eelv,eelv,3331,0.2800100874243443,0.43,0.04,0.03
44150,Saint-Aignan-Grandlieu,244400404,municipale,2020,1,eelv,eelv,307,0.28036529680365296,0.42999999999999994,0.04,0.03
44162,Saint-Herblain,244400404,municipale,2020,1,eelv,eelv,3885,0.28,0.43,0.04,0.03
44166,Saint-Jean-de-Boiseau,244400404,municipale,2020,1,eelv,eelv,463,0.28009679370840895,0.43,0.04,0.030000000000000002
44171,Saint-Léger-les-Vignes,244400404,municipale,2020,1,eelv,eelv,164,0.2827586206896552,0.43,0.04,0.030000000000000002
44190,Saint-Sébastien-sur-Loire,244400404,municipale,2020,1,eelv,eelv,2180,0.279989725147701,0.43,0.04,0.03
44172,Sainte-Luce-sur-Loire,244400404,municipale,2020,1,eelv,eelv,1247,0.2800359308331462,0.43,0.04,0.030000000000000002
44194,Sautron,244400404,municipale,2020,1,eelv,eelv,656,0.28010247651579845,0.42999999999999994,0.04,0.030000000000000002
44204,Thouaré-sur-Loire,244400404,municipale,2020,1,eelv,eelv,842,0.2801064537591484,0.43000000000000005,0.04,0.03
44215,Vertou,244400404,municipale,2020,1,eelv,eelv,2003,0.2802182428651371,0.43,0.04,0.03
