code_commune_insee,nom_commune,code_epci,type_scrutin,annee,tour,date_scrutin,inscrits,votants,abstention,blancs,nuls,exprimes,turnout_pct,blancs_pct,nuls_pct,voix_hollande,voix_pct_hollande,voix_sarkozy,voix_pct_sarkozy
44009,Basse-Goulaine,244400404,presidentielle,2012,2,2012-05-06,6094,4997,1097,100,25,4872,0.82,0.02,0.005,3021,0.6200738916256158,1851,0.37992610837438423
44018,Bouaye,244400404,presidentielle,2012,2,2012-05-06,5248,4303,945,86,22,4196,0.82,0.02,0.005,2601,0.6198760724499524,1595,0.38012392755004765
44020,Bouguenais,244400404,presidentielle,2012,2,2012-05-06,13048,10699,2349,214,53,10432,0.82,0.02,0.005,6468,0.6200153374233128,3964,0.3799846625766871
44024,Brains,244400404,presidentielle,2012,2,2012-05-06,1749,1434,315,29,7,1399,0.82,0.02,0.005,867,0.6197283774124375,532,0.38027162258756253
44026,Carquefou,244400404,presidentielle,2012,2,2012-05-06,13013,10671,2342,213,53,10404,0.82,0.02,0.005,6450,0.6199538638985006,3954,0.3800461361014994
44047,Couëron,244400404,presidentielle,2012,2,2012-05-06,14918,12233,2685,245,61,11927,0.8200000000000001,0.02,0.005,7395,0.620021799278947,4532,0.3799782007210531
44074,Indre,244400404,presidentielle,2012,2,2012-05-06,2644,2168,476,43,11,2114,0.82,0.02,0.005,1311,0.620151371807001,803,0.379848628192999
44035,La Chapelle-sur-Erdre,244400404,presidentielle,2012,2,2012-05-06,12980,10644,2336,213,53,10378,0.82,0.02,0.005,6434,0.6199653112353054,3944,0.38003468876469454
44101,La Montagne,244400404,presidentielle,2012,2,2012-05-06,4134,3389,744,68,17,3305,0.82,0.02,0.005,2049,0.6199697428139183,1256,0.3800302571860817
44120,Le Pellerin,244400404,presidentielle,2012,2,2012-05-06,3381,2772,609,55,14,2703,0.8199999999999998,0.02,0.005,1676,0.6200517943026267,1027,0.3799482056973733
44198,Les Sorinières,244400404,presidentielle,2012,2,2012-05-06,5806,4761,1045,95,24,4642,0.82,0.02,0.005,2878,0.6199913830245584,1764,0.38000861697544164
44094,Mauves-sur-Loire,244400404,presidentielle,2012,2,2012-05-06,2150,1763,387,35,9,1719,0.82,0.02,0.005,1066,0.6201279813845259,653,0.3798720186154741
44109,Nantes,244400404,presidentielle,2012,2,2012-05-06,205997,168918,37080,3378,845,164695,0.82,0.02,0.005,102111,0.6200006071829746,62584,0.3799993928170254
44114,Orvault,244400404,presidentielle,2012,2,2012-05-06,17960,14727,3233,295,74,14359,0.82,0.02,0.005,8903,0.620029249947768,5456,0.3799707500522321
44143,Rezé,244400404,presidentielle,2012,2,2012-05-06,27470,22525,4945,451,113,21962,0.82,0.02,0.005,13617,0.620025498588471,8345,0.379974501411529
44150,Saint-Aignan-Grandlieu,244400404,presidentielle,2012,2,2012-05-06,2529,2074,455,41,10,2022,0.8199999999999998,0.02,0.005,1254,0.6201780415430267,768,0.3798219584569733
44162,Saint-Herblain,244400404,presidentielle,2012,2,2012-05-06,32040,26273,5767,525,131,25616,0.82,0.02,0.005,15882,0.6200031230480949,9734,0.37999687695190504
44166,Saint-Jean-de-Boiseau,244400404,presidentielle,2012,2,2012-05-06,3817,3130,687,63,16,3052,0.82,0.02,0.005,1892,0.6199213630406291,1160,0.3800786369593709
44171,Saint-Léger-les-Vignes,244400404,presidentielle,2012,2,2012-05-06,1340,1099,241,22,5,1071,0.82,0.02,0.005,664,0.6199813258636788,407,0.3800186741363212
44190,Saint-Sébastien-sur-Loire,244400404,presidentielle,2012,2,2012-05-06,17980,14744,3236,295,74,14375,0.82,0.02,0.005,8912,0.6199652173913044,5463,0.38003478260869566
44172,Sainte-Luce-sur-Loire,244400404,presidentielle,2012,2,2012-05-06,10283,8432,1851,169,42,8221,0.82,0.02,0.005,5097,0.619997567205936,3124,0.380002432794064
44194,Sautron,244400404,presidentielle,2012,2,2012-05-06,5408,4435,973,89,22,4324,0.8199999999999998,0.02,0.005,2681,0.6200277520814061,1643,0.3799722479185939
44204,Thouaré-sur-Loire,244400404,presidentielle,2012,2,2012-05-06,6943,5693,1250,114,28,5551,0.82,0.02,0.005,3442,0.6200684561340299,2109,0.3799315438659701
44215,Vertou,244400404,presidentielle,2012,2,2012-05-06,16507,13535,2971,271,68,13197,0.82,0.02,0.005,8182,0.6199893915283776,5015,0.3800106084716223
