code_commune_insee,nom_commune,code_epci,type_scrutin,annee,tour,date_scrutin,inscrits,votants,abstention,blancs,nuls,exprimes,turnout_pct,blancs_pct,nuls_pct,voix_macron,voix_pct_macron,voix_lepen,voix_pct_lepen
44009,Basse-Goulaine,244400404,presidentielle,2017,2,2017-05-07,6405,4868,1537,195,97,4576,0.76,0.04,0.02,3890,0.8500874125874126,686,0.14991258741258742
44018,Bouaye,244400404,presidentielle,2017,2,2017-05-07,5515,4192,1324,168,84,3940,0.76,0.04,0.02,3349,0.85,591,0.15
44020,Bouguenais,244400404,presidentielle,2017,2,2017-05-07,13714,10422,3291,417,208,9797,0.7599999999999999,0.04,0.02,8328,0.850056139634582,1469,0.14994386036541799
44024,Brains,244400404,presidentielle,2017,2,2017-05-07,1838,1397,441,56,28,1313,0.76,0.04,0.02,1116,0.84996191926885,197,0.15003808073115005
44026,Carquefou,244400404,presidentielle,2017,2,2017-05-07,13677,10394,3282,416,208,9771,0.76,0.04,0.02,8305,0.8499641797154845,1466,0.1500358202845154
44047,Couëron,244400404,presidentielle,2017,2,2017-05-07,15679,11916,3763,477,238,11201,0.76,0.04,0.02,9521,0.8500133916614588,1680,0.1499866083385412
44074,Indre,244400404,presidentielle,2017,2,2017-05-07,2779,2112,667,84,42,1985,0.76,0.04,0.02,1688,0.8503778337531486,297,0.14962216624685137
44035,La Chapelle-sur-Erdre,244400404,presidentielle,2017,2,2017-05-07,13642,10368,3274,415,207,9746,0.76,0.04,0.02,8284,0.8499897393802586,1462,0.15001026061974143
44101,La Montagne,244400404,presidentielle,2017,2,2017-05-07,4344,3302,1043,132,66,3103,0.76,0.04,0.02,2637,0.8498227521753142,466,0.15017724782468578
44120,Le Pellerin,244400404,presidentielle,2017,2,2017-05-07,3553,2700,853,108,54,2538,0.76,0.04,0.02,2158,0.8502758077226162,380,0.14972419227738376
44198,Les Sorinières,244400404,presidentielle,2017,2,2017-05-07,6103,4638,1465,186,93,4360,0.76,0.04,0.02,3706,0.85,654,0.15
44094,Mauves-sur-Loire,244400404,presidentielle,2017,2,2017-05-07,2260,1717,542,69,34,1614,0.76,0.04,0.02,1372,0.8500619578686494,242,0.14993804213135067
44109,Nantes,244400404,presidentielle,2017,2,2017-05-07,216505,164544,51961,6582,3291,154671,0.76,0.04,0.02,131471,0.8500042024684653,23200,0.14999579753153466
44114,Orvault,244400404,presidentielle,2017,2,2017-05-07,18876,14345,4530,574,287,13485,0.76,0.04,0.02,11462,0.849981460882462,2023,0.150018539117538
44143,Rezé,244400404,presidentielle,2017,2,2017-05-07,28871,21942,6929,878,439,20626,0.76,0.04,0.02,17532,0.8499951517502182,3094,0.15000484824978183
44150,Saint-Aignan-Grandlieu,244400404,presidentielle,2017,2,2017-05-07,2658,2020,638,81,40,1899,0.76,0.04,0.02,1614,0.8499210110584519,285,0.1500789889415482
44162,Saint-Herblain,244400404,presidentielle,2017,2,2017-05-07,33675,25593,8082,1024,512,24057,0.76,0.04,0.02,20448,0.8499812944257389,3609,0.15001870557426114
44166,Saint-Jean-de-Boiseau,244400404,presidentielle,2017,2,2017-05-07,4012,3049,963,122,61,2866,0.76,0.04,0.02,2436,0.8499651081646895,430,0.15003489183531055
44171,Saint-Léger-les-Vignes,244400404,presidentielle,2017,2,2017-05-07,1408,1070,338,43,21,1006,0.76,0.04,0.02,855,0.8499005964214712,151,0.15009940357852883
44190,Saint-Sébastien-sur-Loire,244400404,presidentielle,2017,2,2017-05-07,18897,14362,4535,574,287,13500,0.76,0.04,0.02,11475,0.85,2025,0.15
44172,Sainte-Luce-sur-Loire,244400404,presidentielle,2017,2,2017-05-07,10807,8214,2594,329,164,7721,0.7599999999999999,0.04,0.02,6563,0.8500194275352934,1158,0.14998057246470664
44194,Sautron,244400404,presidentielle,2017,2,2017-05-07,5684,4320,1364,173,86,4061,0.76,0.04,0.02,3452,0.8500369367150948,609,0.1499630632849052
44204,Thouaré-sur-Loire,244400404,presidentielle,2017,2,2017-05-07,7297,5546,1751,222,111,5213,0.76,0.04,0.02,4431,0.8499904085938998,782,0.15000959140610012
44215,Vertou,244400404,presidentielle,2017,2,2017-05-07,17349,13185,4164,527,264,12394,0.76,0.04,0.02,10535,0.8500080684202034,1859,0.14999193157979668
