code_commune_insee,nom_commune,code_epci,type_scrutin,annee,tour,parti_en_tete,candidat_en_tete,voix_en_tete,voix_pct_en_tete,turnout_pct,blancs_pct,nuls_pct
44009,Basse-Goulaine,244400404,presidentielle,2022,2,macron,macron,3684,0.7600577676913555,0.7499999999999999,0.03,0.01
44018,Bouaye,244400404,presidentielle,2022,2,macron,macron,3172,0.7599425011978918,0.75,0.030000000000000002,0.01
44020,Bouguenais,244400404,presidentielle,2022,2,macron,macron,7886,0.7599498891779898,0.75,0.030000000000000002,0.01
44024,Brains,244400404,presidentielle,2022,2,macron,macron,1057,0.7598849748382459,0.75,0.03,0.01
44026,Carquefou,244400404,presidentielle,2022,2,macron,macron,7866,0.76,0.75,0.03,0.01
44047,Couëron,244400404,presidentielle,2022,2,macron,macron,9017,0.7599662873999157,0.75,0.03,0.01
44074,Indre,244400404,presidentielle,2022,2,macron,macron,1598,0.7598668568711364,0.75,0.03,0.01
44035,La Chapelle-sur-Erdre,244400404,presidentielle,2022,2,macron,macron,7845,0.7599535018889858,0.75,0.03,0.01
44101,La Montagne,244400404,presidentielle,2022,2,macron,macron,2499,0.760036496350365,0.75,0.03,0.01
44120,Le Pellerin,244400404,presidentielle,2022,2,macron,macron,2044,0.7601338787653402,0.75,0.030000000000000002,0.01
44198,Les Sorinières,244400404,presidentielle,2022,2,macron,macron,3510,0.7600692940666955,0.75,0.030000000000000002,0.01
44094,Mauves-sur-Loire,244400404,presidentielle,2022,2,macron,macron,1300,0.7602339181286549,0.75,0.029999999999999995,0.01
44109,Nantes,244400404,presidentielle,2022,2,macron,macron,124515,0.7600024414807581,0.75,0.03,0.01
44114,Orvault,244400404,presidentielle,2022,2,macron,macron,10856,0.7600112013441613,0.75,0.03,0.01
44143,Rezé,244400404,presidentielle,2022,2,macron,macron,16604,0.7599780300256317,0.75,0.03,0.01
44150,Saint-Aignan-Grandlieu,244400404,presidentielle,2022,2,macron,macron,1529,0.7603182496270512,0.7499999999999999,0.03,0.01
44162,Saint-Herblain,244400404,presidentielle,2022,2,macron,macron,19367,0.7599968606521995,0.75,0.030000000000000002,0.01
44166,Saint-Jean-de-Boiseau,244400404,presidentielle,2022,2,macron,macron,2307,0.7598814229249012,0.75,0.030000000000000002,0.01
44171,Saint-Léger-les-Vignes,244400404,presidentielle,2022,2,macron,macron,809,0.7596244131455399,0.75,0.03,0.01
44190,Saint-Sébastien-sur-Loire,244400404,presidentielle,2022,2,macron,macron,10868,0.76,0.75,0.03,0.01
44172,Sainte-Luce-sur-Loire,244400404,presidentielle,2022,2,macron,macron,6216,0.76008804108584,0.75,0.03,0.01
44194,Sautron,244400404,presidentielle,2022,2,macron,macron,3269,0.760055800976517,0.75,0.03,0.01
44204,Thouaré-sur-Loire,244400404,presidentielle,2022,2,macron,macron,4197,0.7600507062658457,0.75,0.03,0.01
44215,Vertou,244400404,presidentielle,2022,2,macron,macron,9977,0.7599786715417428,0.75,0.03,0.01
