,0
num__voix_pct_other,0.0642317195082013
num__voix_pct_modem,0.057600235979919805
num__annee,0.0571645412486267
num__other_pct,0.05544637462351482
num__modem_pct,0.0498362584038395
num__eelv_pct,0.04455884908718457
num__turnout_pct,0.04128340314792922
num__revenu_median_uc_euros,0.04008511233194389
num__taux_chomage_pct,0.0396543594802292
num__voix_pct_eelv,0.03789860178197395
num__voix_pct_ps,0.03706295879784986
num__nuls_pct,0.03704000184732378
num__voix_pct_rn,0.03398531989292735
num__ps_pct,0.03062404235815955
num__taux_pauvrete_pct,0.030524845106874574
num__voix_pct_lr,0.02720877621127549
num__rn_pct,0.022857609337037038
num__lr_pct,0.02198860606563526
num__delinquance_pour_1000_hab,0.019712173641067667
cat__type_scrutin_europeenne,0.019347820078309378
num__lrem_pct,0.018808820869080665
num__voix_fn,0.018718506531061465
num__voix_pct_lrem,0.017618742431210324
cat__type_scrutin_municipale,0.010781166604796236
num__voix_rn,0.010426011117973278
num__fn_pct,0.008127135094121303
num__blancs_pct,0.0077660373402296465
num__exprimes,0.007102588519568369
num__voix_ps,0.006883384053196585
num__lfi_pct,0.006883079445206103
num__voix_lrem,0.006487173712090133
num__voix_hollande,0.006361917902212664
num__population_delta,0.005814633936764306
num__voix_eelv,0.0055874474265257155
num__voix_other,0.005550736091066122
num__voix_pct_fn,0.005254786949164084
num__voix_sarkozy,0.0050143871757088905
num__voix_lr,0.0050075883237428375
num__voix_pct_lfi,0.0041025551489281345
num__associations_actives,0.004079973866018658
num__voix_macron,0.003882354112087857
num__voix_pct_lepen,0.003328472106670239
num__votants,0.0032632891402161733
num__voix_lfi,0.0032619856148580484
num__hollande_pct,0.0030933591157057726
num__nuls,0.002625388924410107
num__voix_pct_hollande,0.0025575841974563307
num__abstention,0.0024894339344662423
num__macron_pct,0.0024439978451922025
num__voix_pct_arthaud,0.0023777077914019376
num__entreprises_actives,0.0022643204957876295
num__arthaud_pct,0.002056169564814082
num__voix_pct_sarkozy,0.002054642140509466
num__lepen_pct,0.001976016601509306
num__voix_pct_melenchon,0.0019044332521262032
num__voix_pct_poutou,0.0018923748497443771
num__voix_pct_dupont_aignan,0.0018179994143958241
num__sarkozy_pct,0.001806746457590508
num__inscrits,0.0017392343838649384
num__voix_pct_macron,0.0014397532111097638
num__blancs,0.0014111349773039275
num__voix_lepen,0.0013401838997287505
cat__type_scrutin_presidentielle,0.0012044292449101181
num__dupont_aignan_pct,0.001145455306814403
num__voix_modem,0.0011087523207546437
num__population,0.0010786853863953604
num__voix_bayrou,0.000959912870478884
num__voix_pct_cheminade,0.0009591100040107917
num__cheminade_pct,0.0009058789465397621
num__voix_fg,0.0009004964468372866
num__melenchon_pct,0.0007810249800517554
num__poutou_pct,0.0006022702197417144
num__joly_pct,0.0004201574004503981
num__voix_pct_joly,0.00041900287453438406
num__voix_joly,0.000391439750314327
num__voix_fillon,0.0003875104164447505
num__voix_lassalle,0.0003830818470313215
num__dlf_pct,0.00035912911936803707
num__voix_asselineau,0.0003329761621711809
num__voix_lo,0.0003227139324646038
cat__tour_1,0.0003089559689132237
num__bayrou_pct,0.00030218466819303784
num__lassalle_pct,0.00016743185371727616
num__voix_dlf,0.0001250966292790395
num__voix_pct_lo,0.0001225359189460995
num__voix_melenchon,0.00011713515783275496
num__voix_npa,0.00010911151180946581
cat__tour_2,0.00010461265980950221
num__lo_pct,6.344860482595022e-05
num__voix_pct_bayrou,5.0785398136113944e-05
num__voix_pct_lassalle,4.628481692702136e-05
num__voix_pct_dlf,3.680336487907744e-05
num__voix_poutou,3.6468189319224276e-05
cat__type_scrutin_legislative,2.9629629629634265e-05
num__voix_arthaud,2.944748026715975e-05
num__voix_dupont_aignan,2.8308563340411822e-05
num__voix_pct_fg,2.5252525252530247e-05
num__fg_pct,2.5248042290473386e-05
num__voix_cheminade,2.4475524475527995e-05
num__voix_pct_hamon,1.9379844961241375e-05
num__npa_pct,1.6438239187056054e-05
num__voix_hamon,1.6209000762776564e-05
num__voix_pct_npa,9.891196834817663e-06
num__voix_pct_asselineau,7.974481658693162e-06
num__fillon_pct,2.106900512640915e-18
num__hamon_pct,3.910049978800605e-19
num__asselineau_pct,4.441220469699855e-20
num__voix_pct_fillon,4.0667510059529453e-20
num__estime_y,0.0
num__estime_x,0.0
